1,3.83409,2.68936
2,6.78328,4.6386
3,8.21924,5.57316
4,9.14397,6.17412
5,9.97743,6.72015
6,10.90905,7.33574
7,12.00404,8.06296
8,13.26624,8.90336
9,14.67574,9.84305
10,16.20772,10.86509
11,17.84024,11.95466
12,19.5564,13.10034
13,21.34412,14.29403
14,23.19529,15.53029
15,25.10466,16.80559
16,27.06902,18.11777
17,29.08649,19.46558
18,31.15607,20.84831
19,33.27726,22.26565
20,35.44986,23.71743
21,37.6738,25.20361
22,39.94907,26.72416
23,42.27562,28.27905
24,44.65335,29.86819
25,47.08209,31.49148
26,49.56161,33.14873
27,52.09156,34.83972
28,54.67157,36.5642
29,57.30117,38.32184
30,59.97985,40.11229
31,62.70706,41.93519
32,65.48218,43.79013
33,68.30461,45.67669
34,71.1737,47.59443
35,74.08878,49.54292
36,77.04919,51.52171
37,80.05427,53.53034
38,83.10334,55.56838
39,86.19575,57.63538
40,89.33083,59.7309
41,92.50795,61.85451
42,95.72648,64.00579
43,98.98581,66.18433
44,102.28533,68.38972
45,105.62447,70.6216
46,109.00266,72.87956
47,112.41935,75.16325
48,115.87402,77.47232
49,119.36616,79.80643
50,122.89527,82.16524
51,126.46088,84.54844
52,130.06254,86.95572
53,133.69978,89.38678
54,137.3722,91.84135
55,141.07939,94.31914
56,144.82093,96.8199
57,148.59647,99.34336
58,152.40562,101.88929
59,156.24803,104.45744
60,160.12336,107.04759
61,164.03129,109.65952
62,167.97149,112.29301
63,171.94365,114.94787
64,175.94749,117.62388
65,179.9827,120.32086
66,184.04902,123.03863
67,188.14618,125.777
68,192.27391,128.53581
69,196.43196,131.31487
70,200.6201,134.11404
71,204.83807,136.93314
72,209.08566,139.77204
73,213.36263,142.63056
74,217.66877,145.50858
75,222.00387,148.40595
76,226.36771,151.32254
77,230.76011,154.2582
78,235.18087,157.2128
79,239.62979,160.18623
80,244.10668,163.17835
81,248.61137,166.18905
82,253.14368,169.2182
83,257.70344,172.2657
84,262.29047,175.33142
85,266.90461,178.41525
86,271.5457,181.51709
87,276.21357,184.63684
88,280.90808,187.77438
89,285.62907,190.92961
90,290.37638,194.10244
91,295.14989,197.29277
92,299.94943,200.5005
93,304.77487,203.72553
94,309.62607,206.96778
95,314.5029,210.22716
96,319.40522,213.50357
97,324.33289,216.79692
98,329.2858,220.10714
99,334.26381,223.43413
100,339.26681,226.77782
101,344.29466,230.13812
102,349.34725,233.51495
103,354.42445,236.90823
104,359.52616,240.31789
105,364.65226,243.74384
106,369.80264,247.18602
107,374.97717,250.64434
108,380.17577,254.11874
109,385.39831,257.60915
110,390.64469,261.11549
111,395.91482,264.63769
112,401.20858,268.17569
113,406.52587,271.72942
114,411.8666,275.29881
115,417.23067,278.8838
116,422.61798,282.48432
